-5.63,2.50
-6.50,2.38
-7.25,1.88
-6.88,3.00
-5.38,6.50
-5.25,0.00
-6.75,3.13
-5.38,3.13
-6.38,3.13
-7.25,2.38
-7.75,2.38
-7.50,6.75
-8.13,4.38
-8.88,7.50
-5.63,3.63
-5.75,3.50
-8.13,2.00
-9.25,3.88
-8.13,6.00
-10.00,6.25
-11.50,11.63
-5.13,3.63
-5.63,3.25
-8.63,1.25
-10.63,4.63
-8.88,6.25
-10.00,8.75
-13.25,16.00
-4.50,3.63
-5.00,3.75
-8.88,0.50
-10.88,6.38
-9.25,6.63
-12.00,11.13
-15.63,13.75
-4.75,3.50
-4.75,3.75
-8.38,1.50
-10.00,7.50
-9.00,8.13
-14.38,11.50
-16.50,15.25
-5.25,3.88
-5.13,3.75
-9.13,2.88
-12.50,7.13
-8.38,7.63
-14.50,12.13
-15.50,13.63
-4.13,4.88
-4.13,4.88
-8.50,2.25
-11.50,7.00
-8.50,7.13
-14.75,10.00
-16.75,15.25
-4.00,4.88
-4.00,4.88
-7.63,3.38
-10.00,6.75
-8.88,7.88
-15.38,10.00
-18.75,15.00
-4.25,4.88
-4.13,4.88
-7.25,4.00
-10.00,5.25
-5.88,8.25
-14.63,8.63
-18.88,12.75
-3.88,4.88
-3.88,5.00
-6.50,4.25
-8.38,4.25
-4.88,7.25
-13.25,6.88
-16.50,10.00
-3.88,4.75
-3.75,4.75
-6.00,3.88
-6.63,4.13
-2.88,7.25
-10.50,5.63
-13.00,10.00
-4.00,5.13
-3.88,5.00
-5.25,4.38
-5.50,4.50
-2.00,4.75
-7.88,3.75
-10.00,8.00
-4.38,4.63
-4.13,4.88
-5.38,4.38
-5.25,4.25
-2.50,6.38
-4.25,0.63
-7.50,5.75
-4.25,4.38
-3.88,4.50
-6.63,3.88
-6.88,4.88
-4.25,8.13
-5.75,2.38
-6.00,6.00
-3.75,4.25
-3.75,4.00
-7.63,2.88
-8.88,6.50
-6.13,8.50
-7.25,5.75
-8.13,10.00
-4.00,4.25
-4.13,4.25
-7.25,3.25
-10.00,6.75
-7.00,7.13
-9.00,7.50
-10.00,11.88
-5.00,4.13
-5.00,4.00
-7.63,3.50
-10.00,10.00
-8.38,7.00
-10.00,9.13
-11.50,13.75
-5.13,4.13
-5.25,4.00
-8.25,3.38
-11.00,10.25
-10.00,7.00
-11.63,11.25
-13.63,15.00
-5.00,4.00
-4.88,4.00
-8.38,3.25
-11.88,10.00
-10.00,8.00
-13.25,10.75
-16.13,16.75
-4.75,4.13
-4.63,4.13
-8.75,3.13
-11.88,10.38
-10.00,8.00
-14.75,10.00
-16.75,15.50
-4.88,3.88
-4.88,3.75
-10.00,3.38
-11.38,10.00
-11.25,7.88
-16.00,10.00
-16.38,14.50
-5.00,3.75
-5.13,3.63
-8.38,3.13
-11.50,10.00
-8.88,8.63
-15.25,8.38
-16.25,12.75
-4.38,3.75
-4.38,3.50
-8.25,2.25
-10.00,8.88
-7.25,7.75
-15.50,7.25
-17.25,12.00
-5.13,3.88
-5.00,3.88
-8.50,2.63
-9.88,6.75
-4.25,7.25
-14.13,5.50
-13.38,10.00
-5.13,3.13
-5.00,3.00
-8.25,2.75
-10.00,5.25
-2.75,4.75
-15.00,4.50
-10.75,7.88
-5.38,3.38
-5.38,3.38
-6.75,2.25
-7.25,3.63
-3.25,4.50
-11.63,2.63
-8.50,7.00
-6.00,3.25
-5.88,3.25
-7.88,2.63
-6.75,3.50
-3.63,6.75
-8.13,0.25
-4.88,6.38
-6.25,3.13
-6.13,2.88
-7.50,1.75
-7.13,3.25
-6.13,6.50
-6.00,-0.25
-6.75,4.88
